UF,ano,pib_mil_reais,pib_bilhoes
AC,2012,10137925.0,10.14
AM,2012,72242703.0,72.24
AP,2012,11130869.0,11.13
MA,2012,60490110.0,60.49
MT,2012,79665685.0,79.67
PA,2012,107080878.0,107.08
RO,2012,30112721.0,30.11
RR,2012,7711468.0,7.71
TO,2012,20684430.0,20.68
AC,2013,11473929.0,11.47
AM,2013,83051228.0,83.05
AP,2013,12763485.0,12.76
MA,2013,67694839.0,67.69
MT,2013,89212915.0,89.21
PA,2013,121224851.0,121.22
RO,2013,31121412.0,31.12
RR,2013,9010725.0,9.01
TO,2013,23796659.0,23.8
AC,2014,13458696.0,13.46
AM,2014,86668642.0,86.67
AP,2014,13400286.0,13.4
MA,2014,76842026.0,76.84
MT,2014,101234522.0,101.23
PA,2014,124584945.0,124.58
RO,2014,34030982.0,34.03
RR,2014,9744122.0,9.74
TO,2014,26189323.0,26.19
AC,2015,13622803.0,13.62
AM,2015,86568185.0,86.57
AP,2015,13861293.0,13.86
MA,2015,78475993.0,78.48
MT,2015,107418326.0,107.42
PA,2015,130899505.0,130.9
RO,2015,36563334.0,36.56
RR,2015,10242903.0,10.24
TO,2015,28930288.0,28.93
AC,2016,13754242.0,13.75
AM,2016,89039782.0,89.04
AP,2016,14342136.0,14.34
MA,2016,85310044.0,85.31
MT,2016,123880298.0,123.88
PA,2016,138107518.0,138.11
RO,2016,39460358.0,39.46
RR,2016,11013236.0,11.01
TO,2016,31584812.0,31.58
AC,2017,14272939.0,14.27
AM,2017,93240190.0,93.24
AP,2017,15481909.0,15.48
MA,2017,89542756.0,89.54
MT,2017,126845895.0,126.85
PA,2017,155232405.0,155.23
RO,2017,43516144.0,43.52
RR,2017,12104706.0,12.1
TO,2017,34108132.0,34.11
AC,2018,15331124.0,15.33
AM,2018,100109232.0,100.11
AP,2018,16795207.0,16.8
MA,2018,98179501.0,98.18
MT,2018,137442863.0,137.44
PA,2018,161349601.0,161.35
RO,2018,44913978.0,44.91
RR,2018,13369988.0,13.37
TO,2018,35666181.0,35.67
AC,2019,15630018.0,15.63
AM,2019,108181093.0,108.18
AP,2019,17496662.0,17.5
MA,2019,97339951.0,97.34
MT,2019,142122023.0,142.12
PA,2019,178376983.0,178.38
RO,2019,47091334.0,47.09
RR,2019,14292227.0,14.29
TO,2019,39355940.0,39.36
AC,2020,16476370.0,16.48
AM,2020,116019141.0,116.02
AP,2020,18469113.0,18.47
MA,2020,106915959.0,106.92
MT,2020,178649564.0,178.65
PA,2020,215935606.0,215.94
RO,2020,51598745.0,51.6
RR,2020,16024274.0,16.02
TO,2020,43649801.0,43.65
AC,2021,21374442.0,21.37
AM,2021,131531039.0,131.53
AP,2021,20099851.0,20.1
MA,2021,124980719.0,124.98
MT,2021,233390203.0,233.39
PA,2021,262904981.0,262.9
RO,2021,58170100.0,58.17
RR,2021,18202580.0,18.2
TO,2021,51780763.0,51.78
